"","Freq","Rel.Freq"
"mangrove",481,55.0973654066438
"article",448,51.3172966781214
"nonhuman",389,44.5589919816724
"microbiology",232,26.5750286368843
"soil microbiology",230,26.3459335624284
"controlled study",216,24.7422680412371
"rhizophoraceae",194,22.2222222222222
"soil",193,22.1076746849943
"rna 16s",187,21.4203894616266
"genetics",172,19.7021764032073
"phylogeny",172,19.7021764032073
"bacteria (microorganisms)",168,19.2439862542955
"bacterium",163,18.6712485681558
"chemistry",156,17.8694158075601
"wetland",139,15.922107674685
"metabolism",138,15.807560137457
"soils",137,15.6930126002291
"priority journal",136,15.5784650630011
"bacteria",135,15.4639175257732
"rna, ribosomal, 16s",135,15.4639175257732
"isolation and purification",133,15.2348224513173
"rhizosphere",132,15.1202749140893
"wetlands",131,15.0057273768614
"microbial community",129,14.7766323024055
"nucleotide sequence",122,13.9747995418099
"gene sequence",121,13.8602520045819
"bacterial strain",120,13.745704467354
"sediment",120,13.745704467354
"china",118,13.5166093928981
"bacterium isolation",117,13.4020618556701
